question_id,question_type,scene,question_text,choice_label,choice_text,primary_need,secondary_need,tertiary_need,安定欲求,自律欲求,成長欲求,探究欲求,関係欲求,評価欲求,影響欲求,秩序欲求,刺激欲求,創造欲求,意味欲求,score_total,source_bundle_id,source_example_ids,review_note
Q01,自然行動,予定のない休日・自由時間,予定のない休日、時間と体力に少し余裕があるとき、最初にしがちなことは？,A,体力や予算を見て、無理なく過ごせる範囲を決める,安定欲求,秩序欲求,自律欲求,0.7,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0,B01,安定-01,
Q01,自然行動,予定のない休日・自由時間,予定のない休日、時間と体力に少し余裕があるとき、最初にしがちなことは？,B,行ったことのない店や場所を軽く調べて、気が向いたら出かける,刺激欲求,探究欲求,自律欲求,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.7,0.0,0.0,1.0,B01,刺激-01,
Q01,自然行動,予定のない休日・自由時間,予定のない休日、時間と体力に少し余裕があるとき、最初にしがちなことは？,C,気になっていた本・動画・記事を見て、知らない分野を少しのぞく,探究欲求,刺激欲求,成長欲求,0.0,0.0,0.1,0.7,0.0,0.0,0.0,0.0,0.2,0.0,0.0,1.0,B01,探究-11,
Q01,自然行動,予定のない休日・自由時間,予定のない休日、時間と体力に少し余裕があるとき、最初にしがちなことは？,D,作りかけのものや、前から形にしたかったことに手をつける,創造欲求,成長欲求,自律欲求,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,1.0,B01,創造-06,
Q02,自然行動,外出・旅行の計画,初めての場所へ出かけるとき、近い考え方は？,A,帰り方や休める場所を先に見ておくと、落ち着いて楽しめる,安定欲求,秩序欲求,探究欲求,0.7,0.0,0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0,B02,安定-02,
Q02,自然行動,外出・旅行の計画,初めての場所へ出かけるとき、近い考え方は？,B,集合時間や持ち物を先に確認して、当日の流れを見えるようにする,秩序欲求,安定欲求,関係欲求,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.7,0.0,0.0,0.0,1.0,B02,秩序-03,
Q02,自然行動,外出・旅行の計画,初めての場所へ出かけるとき、近い考え方は？,C,予定通りに回るだけでなく、偶然見つけた寄り道も楽しみたい,刺激欲求,自律欲求,探究欲求,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.7,0.0,0.0,1.0,B02,刺激-07,
Q02,自然行動,外出・旅行の計画,初めての場所へ出かけるとき、近い考え方は？,D,街並みや店を見ながら、なぜここにこういう場所があるのか気になる,探究欲求,意味欲求,刺激欲求,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.1,0.0,0.2,1.0,B02,探究-03,
Q03,自然行動,新しい環境・初参加,新しい環境や初めての集まりに入るとき、まず意識しやすいことは？,A,安心していられる場所や、話しかけやすそうな人を見つける,安定欲求,関係欲求,秩序欲求,0.7,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,1.0,B03,安定-07,
Q03,自然行動,新しい環境・初参加,新しい環境や初めての集まりに入るとき、まず意識しやすいことは？,B,小さな挨拶や雑談をして、その場に入りやすい空気を作る,関係欲求,安定欲求,影響欲求,0.2,0.0,0.0,0.0,0.7,0.0,0.1,0.0,0.0,0.0,0.0,1.0,B03,関係-15,
Q03,自然行動,新しい環境・初参加,新しい環境や初めての集まりに入るとき、まず意識しやすいことは？,C,最初は疲れても、新しい雰囲気そのものを少し楽しむ,刺激欲求,探究欲求,安定欲求,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.7,0.0,0.0,1.0,B03,刺激-12,
Q03,自然行動,新しい環境・初参加,新しい環境や初めての集まりに入るとき、まず意識しやすいことは？,D,何をどの順番でするのか、全体の流れを早めにつかみたい,秩序欲求,安定欲求,探究欲求,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.7,0.0,0.0,0.0,1.0,B03,秩序-08,
Q04,自然行動,予定調整・誘いを受ける,人から誘われたり予定を調整したりするとき、気になりやすいことは？,A,楽しそうでも、翌日の負担や体力に無理がないかを考える,安定欲求,自律欲求,関係欲求,0.7,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,B04,安定-10,
Q04,自然行動,予定調整・誘いを受ける,人から誘われたり予定を調整したりするとき、気になりやすいことは？,B,細かく決められすぎるより、自分で調整できる余地がほしい,自律欲求,秩序欲求,安定欲求,0.1,0.7,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0,B04,自律-02,
Q04,自然行動,予定調整・誘いを受ける,人から誘われたり予定を調整したりするとき、気になりやすいことは？,C,自分の希望だけでなく、相手の都合や気分もかなり気にする,関係欲求,安定欲求,自律欲求,0.2,0.1,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,B04,関係-03,
Q04,自然行動,予定調整・誘いを受ける,人から誘われたり予定を調整したりするとき、気になりやすいことは？,D,その場の流れで予定が少し変わるのも、悪くないと思う,刺激欲求,関係欲求,自律欲求,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.7,0.0,0.0,1.0,B04,刺激-08,
Q05,自然行動,買い物・流行・選ぶもの,買い物や流行りものに触れるとき、近い行動は？,A,失敗しにくい定番や、口コミの多いものを選びやすい,安定欲求,秩序欲求,関係欲求,0.7,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.0,1.0,B05,安定-04,
Q05,自然行動,買い物・流行・選ぶもの,買い物や流行りものに触れるとき、近い行動は？,B,流行っているという理由だけでは動かず、自分に合うかを考える,自律欲求,意味欲求,安定欲求,0.1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,B05,自律-05,
Q05,自然行動,買い物・流行・選ぶもの,買い物や流行りものに触れるとき、近い行動は？,C,見慣れないものや変わったものに、つい目が行く,刺激欲求,創造欲求,探究欲求,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.7,0.2,0.0,1.0,B05,刺激-10,
Q05,自然行動,買い物・流行・選ぶもの,買い物や流行りものに触れるとき、近い行動は？,D,便利さだけでなく、背景や作り手の考えが感じられるものに惹かれる,意味欲求,探究欲求,創造欲求,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.7,1.0,B05,意味-02,
Q06,自然行動,課題・仕事の始め方,やることが多い課題や作業に入るとき、まずしがちなことは？,A,最低限終わる形を先に確保してから、細部に入る,安定欲求,秩序欲求,成長欲求,0.7,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0,B06,安定-08,
Q06,自然行動,課題・仕事の始め方,やることが多い課題や作業に入るとき、まずしがちなことは？,B,やることを一覧にして、全体量と優先順位を見えるようにする,秩序欲求,安定欲求,成長欲求,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,1.0,B06,秩序-01,
Q06,自然行動,課題・仕事の始め方,やることが多い課題や作業に入るとき、まずしがちなことは？,C,同じ作業でも、自分なりに進めやすい手順を組みたい,自律欲求,成長欲求,創造欲求,0.0,0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,B06,自律-03,
Q06,自然行動,課題・仕事の始め方,やることが多い課題や作業に入るとき、まずしがちなことは？,D,少し難しい部分から、自分の力が伸びそうなところを探す,成長欲求,探究欲求,評価欲求,0.0,0.0,0.7,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,B06,成長-01,
Q07,自然行動,新しい技能・学習,新しいことを学び始めるなら、入り口として近いものは？,A,基礎から積み上げて、少しずつ上達を感じたい,成長欲求,秩序欲求,安定欲求,0.1,0.0,0.7,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0,B07,成長-03,
Q07,自然行動,新しい技能・学習,新しいことを学び始めるなら、入り口として近いものは？,B,まず全体像や仕組みを知って、何をしているのか納得したい,探究欲求,秩序欲求,自律欲求,0.0,0.1,0.0,0.7,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0,B07,探究-07,
Q07,自然行動,新しい技能・学習,新しいことを学び始めるなら、入り口として近いものは？,C,練習メニューや手順が整理されていると取り組みやすい,秩序欲求,成長欲求,安定欲求,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,1.0,B07,秩序-06,
Q07,自然行動,新しい技能・学習,新しいことを学び始めるなら、入り口として近いものは？,D,自分なりの作品や成果物を作れる形から入ると楽しい,創造欲求,成長欲求,自律欲求,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,1.0,B07,創造-01,
Q08,自然行動,グループで方針を決める,グループで方針を決める場面で、自然に意識しやすいことは？,A,まず全員が話しやすい空気になっているかを見る,関係欲求,安定欲求,影響欲求,0.2,0.0,0.0,0.0,0.7,0.0,0.1,0.0,0.0,0.0,0.0,1.0,B11,関係-01,
Q08,自然行動,グループで方針を決める,グループで方針を決める場面で、自然に意識しやすいことは？,B,多数派に流れる前に、自分の考えを一度は言葉にする,自律欲求,影響欲求,意味欲求,0.0,0.7,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.1,1.0,B11,自律-04,
Q08,自然行動,グループで方針を決める,グループで方針を決める場面で、自然に意識しやすいことは？,C,話が動いていないなら、次に何を決めるかを提案する,影響欲求,秩序欲求,関係欲求,0.0,0.0,0.0,0.0,0.1,0.0,0.7,0.2,0.0,0.0,0.0,1.0,B11,影響-01,
Q08,自然行動,グループで方針を決める,グループで方針を決める場面で、自然に意識しやすいことは？,D,意見を整理して、論点や決める順番を見えるようにする,秩序欲求,影響欲求,探究欲求,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.7,0.0,0.0,0.0,1.0,B11,秩序-02,
Q09,自然行動,評価・フィードバック,努力や成果を人に見てもらったとき、特に心に残りやすいのは？,A,ちゃんと見てくれていたとわかる、具体的な言葉をもらえたこと,評価欲求,関係欲求,成長欲求,0.0,0.0,0.1,0.0,0.2,0.7,0.0,0.0,0.0,0.0,0.0,1.0,B14,評価-08,
Q09,自然行動,評価・フィードバック,努力や成果を人に見てもらったとき、特に心に残りやすいのは？,B,前より良くなった部分が、はっきりわかったこと,成長欲求,評価欲求,秩序欲求,0.0,0.0,0.7,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,1.0,B14,成長-02,
Q09,自然行動,評価・フィードバック,努力や成果を人に見てもらったとき、特に心に残りやすいのは？,C,結果だけでなく、そこまでの過程もわかってもらえたこと,関係欲求,評価欲求,意味欲求,0.0,0.0,0.0,0.0,0.7,0.2,0.0,0.0,0.0,0.0,0.1,1.0,B14,関係-08,
Q09,自然行動,評価・フィードバック,努力や成果を人に見てもらったとき、特に心に残りやすいのは？,D,人からの評価より、自分で納得できる形にできたこと,自律欲求,意味欲求,成長欲求,0.0,0.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,B14,自律-01,
Q10,自然行動,役割・企画を任される,企画や役割を任されたとき、まず取りたくなる行動は？,A,状況が少しでも良くなるように、自分から働きかける,影響欲求,関係欲求,意味欲求,0.0,0.0,0.0,0.0,0.2,0.0,0.7,0.0,0.0,0.0,0.1,1.0,B15,影響-05,
Q10,自然行動,役割・企画を任される,企画や役割を任されたとき、まず取りたくなる行動は？,B,全体の流れや役割分担を整理して、進め方を整える,秩序欲求,影響欲求,安定欲求,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.7,0.0,0.0,0.0,1.0,B15,秩序-10,
Q10,自然行動,役割・企画を任される,企画や役割を任されたとき、まず取りたくなる行動は？,C,関わる人が動きやすくなるように、間をつなぐ,関係欲求,影響欲求,安定欲求,0.1,0.0,0.0,0.0,0.7,0.0,0.2,0.0,0.0,0.0,0.0,1.0,B15,関係-12,
Q10,自然行動,役割・企画を任される,企画や役割を任されたとき、まず取りたくなる行動は？,D,難しそうな部分にも、経験になると思って取り組む,成長欲求,評価欲求,影響欲求,0.0,0.0,0.7,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,1.0,B15,成長-08,
Q11,自然行動,制作・表現,何かを作ったり表現したりするとき、近い感覚は？,A,頭の中にあるイメージが、少しずつ形になる過程が楽しい,創造欲求,成長欲求,意味欲求,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.1,1.0,B17,創造-11,
Q11,自然行動,制作・表現,何かを作ったり表現したりするとき、近い感覚は？,B,成果の形を指定されるより、自分なりの形で出せる方が力が出る,自律欲求,創造欲求,評価欲求,0.0,0.7,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.2,0.0,1.0,B17,自律-15,
Q11,自然行動,制作・表現,何かを作ったり表現したりするとき、近い感覚は？,C,作ったものをちゃんと見てもらえる場があると張り合いが出る,評価欲求,創造欲求,関係欲求,0.0,0.0,0.0,0.0,0.1,0.7,0.0,0.0,0.0,0.2,0.0,1.0,B17,評価-04,
Q11,自然行動,制作・表現,何かを作ったり表現したりするとき、近い感覚は？,D,言葉にしにくい感覚や考えを、何かの形で残したくなる,意味欲求,創造欲求,自律欲求,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.7,1.0,B17,意味-08,
Q12,自然行動,選択・価値観で迷う,大事な選択で迷ったとき、決め手になりやすいものは？,A,自分が大事にしたい価値観に照らして、納得できるか,意味欲求,自律欲求,成長欲求,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,B22,意味-04,
Q12,自然行動,選択・価値観で迷う,大事な選択で迷ったとき、決め手になりやすいものは？,B,途中で困ったときの逃げ道や、現実的な安全圏があるか,安定欲求,秩序欲求,自律欲求,0.7,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0,B22,安定-05,
Q12,自然行動,選択・価値観で迷う,大事な選択で迷ったとき、決め手になりやすいものは？,C,人に決められた感覚ではなく、自分で選んだ感覚が残るか,自律欲求,意味欲求,安定欲求,0.1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,B22,自律-08,
Q12,自然行動,選択・価値観で迷う,大事な選択で迷ったとき、決め手になりやすいものは？,D,少し背伸びして、自分を成長させられそうな選択か,成長欲求,意味欲求,評価欲求,0.0,0.0,0.7,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.2,1.0,B22,成長-09,
Q13,嫌な違和感,グループ活動,グループ活動で、特にしんどさを感じやすいのは？,A,何を決めればいいのか曖昧なまま、話だけが進むこと,秩序欲求,安定欲求,影響欲求,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.7,0.0,0.0,0.0,1.0,B11,秩序-02,
Q13,嫌な違和感,グループ活動,グループ活動で、特にしんどさを感じやすいのは？,B,自分の意見をほとんど聞かれずに、流れだけで決まること,自律欲求,影響欲求,関係欲求,0.0,0.7,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,1.0,B11,自律-12,
Q13,嫌な違和感,グループ活動,グループ活動で、特にしんどさを感じやすいのは？,C,頑張った部分が、誰にも気づかれないまま終わること,評価欲求,関係欲求,成長欲求,0.0,0.0,0.1,0.0,0.2,0.7,0.0,0.0,0.0,0.0,0.0,1.0,B11,評価-01,
Q13,嫌な違和感,グループ活動,グループ活動で、特にしんどさを感じやすいのは？,D,場の空気が悪くなり、そこにいづらくなること,関係欲求,安定欲求,自律欲求,0.2,0.1,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,B11,関係-06,
Q14,嫌な違和感,指示・ルール・作業,指示を受けて動く場面で、引っかかりやすいのは？,A,目的や理由がわからないまま、とりあえず従うこと,自律欲求,探究欲求,意味欲求,0.0,0.7,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,B09,自律-07,
Q14,嫌な違和感,指示・ルール・作業,指示を受けて動く場面で、引っかかりやすいのは？,B,手順が散らかっていて、何からやればいいか見えないこと,秩序欲求,安定欲求,探究欲求,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.7,0.0,0.0,0.0,1.0,B09,秩序-05,
Q14,嫌な違和感,指示・ルール・作業,指示を受けて動く場面で、引っかかりやすいのは？,C,なぜその順番なのか気になるのに、確認する余地がないこと,探究欲求,自律欲求,秩序欲求,0.0,0.2,0.0,0.7,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1.0,B09,探究-07,
Q14,嫌な違和感,指示・ルール・作業,指示を受けて動く場面で、引っかかりやすいのは？,D,失敗したときの影響範囲がわからないまま本番に入ること,安定欲求,秩序欲求,探究欲求,0.7,0.0,0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0,B09,安定-11,
Q15,嫌な違和感,学習・練習の継続,勉強や練習を続ける中で、やる気が落ちやすいのは？,A,いくらやっても、前よりできるようになった感覚がないこと,成長欲求,評価欲求,意味欲求,0.0,0.0,0.7,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,1.0,B07,成長-15,
Q15,嫌な違和感,学習・練習の継続,勉強や練習を続ける中で、やる気が落ちやすいのは？,B,努力しても、見ている人にほとんど伝わらないこと,評価欲求,関係欲求,成長欲求,0.0,0.0,0.1,0.0,0.2,0.7,0.0,0.0,0.0,0.0,0.0,1.0,B07,評価-02,
